Currency,Rate,Last_Updated
USD,1.0,2026-04-02 18:23:57
AED,3.6725,2026-04-02 18:23:57
AFN,64.5921,2026-04-02 18:23:57
ALL,82.7147,2026-04-02 18:23:57
AMD,377.2917,2026-04-02 18:23:57
ANG,1.79,2026-04-02 18:23:57
AOA,921.0121,2026-04-02 18:23:57
ARS,1387.7212,2026-04-02 18:23:57
AUD,1.4429,2026-04-02 18:23:57
AWG,1.79,2026-04-02 18:23:57
AZN,1.6998,2026-04-02 18:23:57
BAM,1.6862,2026-04-02 18:23:57
BBD,2.0,2026-04-02 18:23:57
BDT,122.928,2026-04-02 18:23:57
BGN,1.6862,2026-04-02 18:23:57
BHD,0.376,2026-04-02 18:23:57
BIF,2977.1097,2026-04-02 18:23:57
BMD,1.0,2026-04-02 18:23:57
BND,1.2831,2026-04-02 18:23:57
BOB,6.9175,2026-04-02 18:23:57
BRL,5.1619,2026-04-02 18:23:57
BSD,1.0,2026-04-02 18:23:57
BTN,93.5543,2026-04-02 18:23:57
BWP,13.8446,2026-04-02 18:23:57
BYN,2.969,2026-04-02 18:23:57
BZD,2.0,2026-04-02 18:23:57
CAD,1.3882,2026-04-02 18:23:57
CDF,2300.7071,2026-04-02 18:23:57
CHF,0.7939,2026-04-02 18:23:57
CLF,0.02343,2026-04-02 18:23:57
CLP,926.2874,2026-04-02 18:23:57
CNH,6.8754,2026-04-02 18:23:57
CNY,6.8862,2026-04-02 18:23:57
COP,3667.9021,2026-04-02 18:23:57
CRC,465.069,2026-04-02 18:23:57
CUP,24.0,2026-04-02 18:23:57
CVE,95.0641,2026-04-02 18:23:57
CZK,21.1382,2026-04-02 18:23:57
DJF,177.721,2026-04-02 18:23:57
DKK,6.4335,2026-04-02 18:23:57
DOP,60.1495,2026-04-02 18:23:57
DZD,133.0647,2026-04-02 18:23:57
EGP,53.557,2026-04-02 18:23:57
ERN,15.0,2026-04-02 18:23:57
ETB,155.5497,2026-04-02 18:23:57
EUR,0.8624,2026-04-02 18:23:57
FJD,2.257,2026-04-02 18:23:57
FKP,0.7512,2026-04-02 18:23:57
FOK,6.4336,2026-04-02 18:23:57
GBP,0.7513,2026-04-02 18:23:57
GEL,2.6955,2026-04-02 18:23:57
GGP,0.7512,2026-04-02 18:23:57
GHS,11.0667,2026-04-02 18:23:57
GIP,0.7512,2026-04-02 18:23:57
GMD,74.2186,2026-04-02 18:23:57
GNF,8773.1169,2026-04-02 18:23:57
GTQ,7.6476,2026-04-02 18:23:57
GYD,209.3612,2026-04-02 18:23:57
HKD,7.8382,2026-04-02 18:23:57
HNL,26.5649,2026-04-02 18:23:57
HRK,6.4958,2026-04-02 18:23:57
HTG,131.2043,2026-04-02 18:23:57
HUF,330.0946,2026-04-02 18:23:57
IDR,16950.4735,2026-04-02 18:23:57
ILS,3.13,2026-04-02 18:23:57
IMP,0.7512,2026-04-02 18:23:57
INR,93.5527,2026-04-02 18:23:57
IQD,1310.8071,2026-04-02 18:23:57
IRR,1077731.7896,2026-04-02 18:23:57
ISK,123.9935,2026-04-02 18:23:57
JEP,0.7512,2026-04-02 18:23:57
JMD,158.0519,2026-04-02 18:23:57
JOD,0.709,2026-04-02 18:23:57
JPY,158.6497,2026-04-02 18:23:57
KES,129.9902,2026-04-02 18:23:57
KGS,87.4802,2026-04-02 18:23:57
KHR,3996.8843,2026-04-02 18:23:57
KID,1.4427,2026-04-02 18:23:57
KMF,424.1459,2026-04-02 18:23:57
KRW,1510.452,2026-04-02 18:23:57
KWD,0.3085,2026-04-02 18:23:57
KYD,0.8333,2026-04-02 18:23:57
KZT,475.5652,2026-04-02 18:23:57
LAK,21976.5525,2026-04-02 18:23:57
LBP,89500.0,2026-04-02 18:23:57
LKR,315.2413,2026-04-02 18:23:57
LRD,183.4391,2026-04-02 18:23:57
LSL,16.8161,2026-04-02 18:23:57
LYD,6.4083,2026-04-02 18:23:57
MAD,9.3271,2026-04-02 18:23:57
MDL,17.6316,2026-04-02 18:23:57
MGA,4174.5603,2026-04-02 18:23:57
MKD,53.4094,2026-04-02 18:23:57
MMK,2099.5666,2026-04-02 18:23:57
MNT,3592.3896,2026-04-02 18:23:57
MOP,8.0736,2026-04-02 18:23:57
MRU,40.0863,2026-04-02 18:23:57
MUR,46.7829,2026-04-02 18:23:57
MVR,15.4515,2026-04-02 18:23:57
MWK,1739.7198,2026-04-02 18:23:57
MXN,17.8308,2026-04-02 18:23:57
MYR,4.0262,2026-04-02 18:23:57
MZN,63.7208,2026-04-02 18:23:57
NAD,16.8161,2026-04-02 18:23:57
NGN,1378.9192,2026-04-02 18:23:57
NIO,36.7935,2026-04-02 18:23:57
NOK,9.6984,2026-04-02 18:23:57
NPR,149.6869,2026-04-02 18:23:57
NZD,1.7369,2026-04-02 18:23:57
OMR,0.3845,2026-04-02 18:23:57
PAB,1.0,2026-04-02 18:23:57
PEN,3.4704,2026-04-02 18:23:57
PGK,4.3372,2026-04-02 18:23:57
PHP,60.2566,2026-04-02 18:23:57
PKR,278.9856,2026-04-02 18:23:57
PLN,3.6948,2026-04-02 18:23:57
PYG,6502.7694,2026-04-02 18:23:57
QAR,3.64,2026-04-02 18:23:57
RON,4.3929,2026-04-02 18:23:57
RSD,101.2123,2026-04-02 18:23:57
RUB,80.4227,2026-04-02 18:23:57
RWF,1459.3254,2026-04-02 18:23:57
SAR,3.75,2026-04-02 18:23:57
SBD,7.941,2026-04-02 18:23:57
SCR,14.3641,2026-04-02 18:23:57
SDG,544.1198,2026-04-02 18:23:57
SEK,9.4051,2026-04-02 18:23:57
SGD,1.2831,2026-04-02 18:23:57
SHP,0.7512,2026-04-02 18:23:57
SLE,24.6617,2026-04-02 18:23:57
SLL,24661.7308,2026-04-02 18:23:57
SOS,571.6525,2026-04-02 18:23:57
SRD,37.4473,2026-04-02 18:23:57
SSP,4584.1865,2026-04-02 18:23:57
STN,21.1225,2026-04-02 18:23:57
SYP,113.5023,2026-04-02 18:23:57
SZL,16.8161,2026-04-02 18:23:57
THB,32.5419,2026-04-02 18:23:57
TJS,9.5579,2026-04-02 18:23:57
TMT,3.5015,2026-04-02 18:23:57
TND,2.9221,2026-04-02 18:23:57
TOP,2.3859,2026-04-02 18:23:57
TRY,44.546,2026-04-02 18:23:57
TTD,6.7676,2026-04-02 18:23:57
TVD,1.4427,2026-04-02 18:23:57
TWD,32.0246,2026-04-02 18:23:57
TZS,2598.7822,2026-04-02 18:23:57
UAH,43.7942,2026-04-02 18:23:57
UGX,3735.0282,2026-04-02 18:23:57
UYU,40.6335,2026-04-02 18:23:57
UZS,12191.5531,2026-04-02 18:23:57
VES,474.0598,2026-04-02 18:23:57
VND,26212.6139,2026-04-02 18:23:57
VUV,119.3066,2026-04-02 18:23:57
WST,2.7369,2026-04-02 18:23:57
XAF,565.5279,2026-04-02 18:23:57
XCD,2.7,2026-04-02 18:23:57
XCG,1.79,2026-04-02 18:23:57
XDR,0.7334,2026-04-02 18:23:57
XOF,565.5279,2026-04-02 18:23:57
XPF,102.8811,2026-04-02 18:23:57
YER,238.5415,2026-04-02 18:23:57
ZAR,16.8169,2026-04-02 18:23:57
ZMW,19.2043,2026-04-02 18:23:57
ZWG,25.3745,2026-04-02 18:23:57
ZWL,25.3745,2026-04-02 18:23:57
